Employee_ID,Full_Name,Age,Gender,Department,City,Salary,Years_Exp,Performance,Education,Status,Join_Date,Bonus_Pct
EMP0001,Frank Taylor,60.0,Male,Marketing,Birmingham,42374.0,22,4.7,High School,Active,2010-01-01,21.0
EMP0002,Diana Jones,50.0,Non-binary,HR,Glasgow,70913.0,31,,Bachelor,Active,2010-01-04,15.4
EMP0003,Alice Smith,36.0,Non-binary,Finance,,91025.0,29,3.8,,Active,2010-01-07,
EMP0004,Grace Wilson,29.0,Non-binary,HR,Bristol,69516.0,12,3.9,Bachelor,Active,2010-01-10,
EMP0005,Bob Wilson,42.0,Female,Marketing,Bristol,51069.0,17,4.3,Bachelor,Active,2010-01-13,20.7
EMP0006,Bob Brown,60.0,Female,Finance,Manchester,81233.0,22,,PhD,Resigned,2010-01-16,19.7
EMP0007,Henry Smith,40.0,Non-binary,Operations,Bristol,84049.0,14,4.9,PhD,Active,2010-01-19,6.5
EMP0008,Alice Jones,44.0,Non-binary,Marketing,Bristol,64178.0,32,1.3,High School,Resigned,2010-01-22,17.7
EMP0009,Grace Brown,32.0,Female,Operations,Birmingham,57821.0,20,4.3,Master,On Leave,2010-01-25,5.4
EMP0010,James Brown,32.0,Female,IT,Birmingham,76727.0,22,3.6,PhD,On Leave,2010-01-28,1.0
EMP0011,Frank Wilson,45.0,Male,Sales,Glasgow,85935.0,26,3.6,Bachelor,Active,2010-01-31,5.0
EMP0012,James Taylor,57.0,Male,Marketing,Manchester,41999.0,17,1.5,PhD,Resigned,2010-02-03,4.5
EMP0013,Charlie Wilson,61.0,Female,IT,London,87522.0,23,3.6,PhD,On Leave,2010-02-06,8.4
EMP0014,Frank Taylor,45.0,Non-binary,Marketing,Manchester,63712.0,6,4.9,High School,Active,2010-02-09,10.5
EMP0015,Diana Wilson,24.0,Non-binary,Marketing,Manchester,89551.0,19,,PhD,Active,2010-02-12,12.7
EMP0016,Alice Wilson,43.0,Non-binary,IT,Leeds,65172.0,26,2.8,PhD,Active,2010-02-15,11.9
EMP0017,Alice Taylor,23.0,Non-binary,Finance,Glasgow,58722.0,5,1.2,Bachelor,Resigned,2010-02-18,6.8
EMP0018,Eve Davis,,Male,HR,Leeds,35625.0,26,2.4,PhD,Active,2010-02-21,0.7
EMP0019,Isla Davis,51.0,Female,Operations,Manchester,92165.0,8,4.3,Bachelor,Active,2010-02-24,15.1
EMP0020,Alice Brown,59.0,Non-binary,Marketing,Manchester,31859.0,30,3.8,PhD,Resigned,2010-02-27,9.9
EMP0021,Bob Wilson,23.0,Male,Operations,Manchester,,20,2.8,PhD,Active,2010-03-02,7.5
EMP0022,James Brown,42.0,Non-binary,Sales,Bristol,68307.0,25,1.2,Master,Resigned,2010-03-05,
EMP0023,Alice Smith,54.0,Female,IT,Leeds,46839.0,12,2.7,,Active,2010-03-08,18.7
EMP0024,Bob Taylor,33.0,Male,Operations,Manchester,,22,2.9,Bachelor,On Leave,2010-03-11,21.4
EMP0025,James Wilson,43.0,Female,IT,Birmingham,77953.0,19,4.7,,Active,2010-03-14,12.4
EMP0026,Alice Wilson,46.0,Female,Operations,Glasgow,85593.0,27,3.6,High School,On Leave,2010-03-17,
EMP0027,Bob Smith,48.0,Male,HR,,74522.0,16,2.2,,On Leave,2010-03-20,17.4
EMP0028,Henry Davis,49.0,Male,HR,,29886.0,27,3.1,Master,On Leave,2010-03-23,5.2
EMP0029,Henry Taylor,37.0,Male,HR,Glasgow,32485.0,1,1.3,Bachelor,Resigned,2010-03-26,11.0
EMP0030,James Smith,,Male,HR,Bristol,56455.0,24,4.9,Bachelor,Active,2010-03-29,1.6
EMP0031,Henry Jones,24.0,Male,HR,,41767.0,5,2.4,Bachelor,Resigned,2010-04-01,20.6
EMP0032,Charlie Taylor,58.0,Male,HR,London,53453.0,10,,Master,Active,2010-04-04,3.1
EMP0033,Diana Jones,28.0,Male,IT,London,78442.0,5,,Bachelor,Active,2010-04-07,22.6
EMP0034,Grace Davis,42.0,Non-binary,Marketing,London,76877.0,10,3.7,High School,Active,2010-04-10,21.6
EMP0035,Bob Jones,30.0,Female,Operations,Glasgow,37226.0,13,3.6,Master,Active,2010-04-13,11.6
EMP0036,Frank Smith,,Male,HR,Bristol,47588.0,1,3.9,High School,Resigned,2010-04-16,18.6
EMP0037,Diana Davis,39.0,Non-binary,IT,Bristol,56709.0,2,2.1,High School,Resigned,2010-04-19,15.5
EMP0038,Charlie Wilson,25.0,Non-binary,IT,Bristol,72788.0,34,,Master,Active,2010-04-22,20.1
